"syn"	"gene"
"A1B::ABG::alpha 1B-glycoprotein::alpha-1-B glycoprotein::alpha-1B-glycoprotein::DKFZp686F0970::GAB::HYST2477"	"A1BG"
"NCRNA00181::A1BG antisense RNA 1::A1BG-AS::A1BGAS::FLJ23569"	"A1BG-AS1"
"RP11-564C4.2::MGC163391::OTTHUMP00000019611::OTTHUMP00000019612::OTTHUMP00000019614::OTTHUMP00000019615::OTTHUMP00000061209::ASP::apo-B RNA editing protein::apobec-1 complementation factor::apobec-1 complementation factor (ACF) (ASP)::APOBEC-1 stimulating protein::apobec1 complementation factor::APOBEC1CF::ACF::ACF64::ACF65"	"A1CF"
"FWP007::DKFZp779B086::A2MD::C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5::CPAMD5::alpha 2M::alpha-2-M::alpha-2-macroglobulin::S863-7"	"A2M"
"A2M antisense RNA 1"	"A2M-AS1"
"CPAMD9::DKFZp686C1729::DKFZp686D2011::DKFZp686G1812::DKFZp686L1821::DKFZp686O1010::C3 and PZP-like, alpha-2-macroglobulin domain containing 9::alpha-2-macroglobulin-like 1::alpha-2-macroglobulin-like protein 1::FLJ39129::FLJ41597::FLJ41598::FLJ41607::FLJ16045::FLJ25179::OTTHUMP00000158614"	"A2ML1"
"alpha-2-macroglobulin pseudogene 1::A2MP"	"A2MP1"
"CD77 synthase::alpha 1,4-galactosyltransferase::alpha-1,4-N-acetylglucosaminyltransferase::alpha4Gal-T1::A14GALT::A4GALT1::OTTHUMP00000198433::OTTHUMP00000198434::P blood group (P one antigen)::P(k)::P(k) antigen synthase::P1::P1/Pk synthase::PK::UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase::GB3 synthase::Gb3S::globotriaosylceramide synthase::lactosylceramide 4-alpha-galactosyltransferase"	"A4GALT"
"alpha-1,4-N-acetylglucosaminyltransferase::alpha4GnT::MGC149493"	"A4GNT"
"AAA::AAASb::DKFZp586G1624::ALADIN::Allgrove, triple-A::achalasia, adrenocortical insufficiency, alacrimia::achalasia, adrenocortical insufficiency, alacrimia (Allgrove, triple-A)::ADRACALA::ADRACALIN::GL003"	"AAAS"
"FLJ12389::homolog of C. elegans supressor of ras 5 (sur-5)::FLJ41251::protein sur-5 homolog::SUR-5::acetoacetate-CoA ligase::acetoacetyl-CoA synthetase::ACSF1::acyl-CoA synthetase family member 1"	"AACS"
"LOC729522::acetoacetyl-CoA synthetase pseudogene 1::AACSL"	"AACSP1"
"CES5A1::arylacetamide deacetylase::arylacetamide deacetylase (esterase)::DAC"	"AADAC"
"MGC72001::arylacetamide deacetylase-like 2"	"AADACL2"
"arylacetamide deacetylase-like 3::OTTHUMP00000001868::OTTHUMP00000001869::RP11-474O21.3"	"AADACL3"
"RP11-474O21.1::arylacetamide deacetylase-like 4::OTTHUMP00000001872"	"AADACL4"
"2-aminoadipate aminotransferase::2-aminoadipate transaminase::aminoadipate aminotransferase::alpha-aminoadipate aminotransferase::kynurenine aminotransferase II::kynurenine--oxoglutarate aminotransferase II::kynurenine--oxoglutarate transaminase 2::kynurenine--oxoglutarate transaminase II::kynurenine/alpha-aminoadipate aminotransferase, mitochondrial::L kynurenine/alpha aminoadipate aminotransferase::KAT/AadAT::KAT2::KATII"	"AADAT"
"hypothetical protein LOC195827::OTTHUMP00000021725::C9orf21::AhpC/TSA antioxidant enzyme domain containing 1::RP11-392G7.2::UPF0308 protein C9orf21"	"AAED1"
"p34::FLJ11506::alpha- and gamma-adaptin binding protein::alpha- and gamma-adaptin-binding protein p34::DKFZp667D2317::DKFZp686G08119"	"AAGAB"
"DKFZp686F03202::DKFZp686K16132::AP2 associated kinase 1::AP2-associated protein kinase 1::adaptor-associated kinase 1::MGC164568::MGC164570::MGC138170::KIAA1048::FLJ23712::FLJ25931::FLJ31060::FLJ42882::FLJ45252"	"AAK1"
"CK067::adipogenesis associated, Mth938 domain containing::C11orf67::hypothetical protein LOC28971::FLJ21035::MGC3367::PTD015::UPF0366 protein C11orf67"	"AAMDC"
"arylalkylamine N-acetyltransferase::aralkylamine N-acetyltransferase::AA-NAT::DSPS::serotonin acetylase::serotonin N-acetyltransferase::SNAT"	"AANAT"
"OTTHUMP00000030846::uncharacterized protein C20orf4::hypothetical protein LOC25980::DKFZp564N1363::bA234K24.2::C20orf4::CGI-23::AAR2 splicing factor homolog (S. cerevisiae)"	"AAR2"
"hypothetical protein LOC441376::LOC441376::alanine and arginine rich domain containing protein::Alanine and arginine-rich domain-containing protein::C8orf85"	"AARD"
"renal carcinoma antigen NY-REN-42::alanine tRNA ligase 1, cytoplasmic::alanine--tRNA ligase, cytoplasmic::alanyl-tRNA synthetase::alanyl-tRNA synthetase, cytoplasmic::AlaRS::CMT2N"	"AARS"
